trial_number,model_name,feature_set,hyperparameters,validation_score_mae,objective_function,random_seed,selected
4,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 250, ""max_depth"": 4, ""min_samples_split"": 10, ""min_samples_leaf"": 8, ""max_features"": 0.7}",16.8562,inner_temporal_val_mae_2023,42,False
5,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 500, ""max_depth"": 7, ""min_samples_split"": 3, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",19.4624,inner_temporal_val_mae_2023,42,False
6,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 450, ""max_depth"": 6, ""min_samples_split"": 7, ""min_samples_leaf"": 5, ""max_features"": 0.5}",16.4609,inner_temporal_val_mae_2023,42,False
7,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 600, ""max_depth"": 10, ""min_samples_split"": 7, ""min_samples_leaf"": 8, ""max_features"": 0.5}",16.5105,inner_temporal_val_mae_2023,42,False
8,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_split"": 5, ""min_samples_leaf"": 7, ""max_features"": 0.5}",16.5784,inner_temporal_val_mae_2023,42,False
9,RandomForest,Candidate_C_V3_Compact,"{""n_estimators"": 250, ""max_depth"": 9, ""min_samples_split"": 3, ""min_samples_leaf"": 8, ""max_features"": 0.7}",16.1186,inner_temporal_val_mae_2023,42,False
0,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 3, ""learning_rate"": 0.05, ""n_estimators"": 250, ""subsample"": 0.7, ""colsample_bytree"": 0.5, ""reg_alpha"": 2.0, ""reg_lambda"": 1.0}",16.2236,inner_temporal_val_mae_2023,42,False
1,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 4, ""learning_rate"": 0.04, ""n_estimators"": 250, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 9.0, ""reg_lambda"": 3.0}",16.0076,inner_temporal_val_mae_2023,42,True
2,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 2, ""learning_rate"": 0.01, ""n_estimators"": 150, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 3.0, ""reg_lambda"": 7.0}",28.67,inner_temporal_val_mae_2023,42,False
3,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 2, ""learning_rate"": 0.02, ""n_estimators"": 150, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 2.0, ""reg_lambda"": 6.0}",17.8111,inner_temporal_val_mae_2023,42,False
4,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 3, ""learning_rate"": 0.01, ""n_estimators"": 250, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 10.0, ""reg_lambda"": 10.0}",20.2556,inner_temporal_val_mae_2023,42,False
5,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 4, ""learning_rate"": 0.02, ""n_estimators"": 100, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 5.0}",21.2865,inner_temporal_val_mae_2023,42,False
6,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 2, ""learning_rate"": 0.05, ""n_estimators"": 150, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 6.0, ""reg_lambda"": 6.0}",16.4823,inner_temporal_val_mae_2023,42,False
7,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 2, ""learning_rate"": 0.05, ""n_estimators"": 250, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 6.0, ""reg_lambda"": 10.0}",16.4731,inner_temporal_val_mae_2023,42,False
8,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 2, ""learning_rate"": 0.01, ""n_estimators"": 100, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 3.0, ""reg_lambda"": 9.0}",39.53,inner_temporal_val_mae_2023,42,False
9,XGBoost,Candidate_C_V3_Compact,"{""max_depth"": 3, ""learning_rate"": 0.02, ""n_estimators"": 200, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}",16.325,inner_temporal_val_mae_2023,42,False
