feature,group,v3_mean_abs_shap,v3_rank,v2_mean_abs_shap,v2_rank,rank_change,shap_diff,status
temperature_c_roll_std_30d,,0.0,999.0,0.0644173103538628,49.0,-950.0,-0.0644173103538628,DISAPPEARED
temperature_c_roll_std_3d,,0.0,999.0,0.1073646312623663,32.0,-967.0,-0.1073646312623663,DISAPPEARED
temperature_c_roll_std_7d,,0.0,999.0,0.1467399428466776,27.0,-972.0,-0.1467399428466776,DISAPPEARED
temperature_c_roll_var_14d,,0.0,999.0,0.0290266988991075,98.0,-901.0,-0.0290266988991075,DISAPPEARED
temperature_c_roll_var_30d,,0.0,999.0,0.0822179374792373,41.0,-958.0,-0.0822179374792373,DISAPPEARED
temperature_c_roll_var_3d,,0.0,999.0,0.0900052895340056,39.0,-960.0,-0.0900052895340056,DISAPPEARED
temperature_c_roll_var_7d,,0.0,999.0,0.1539153659284415,24.0,-975.0,-0.1539153659284415,DISAPPEARED
upwind_stubble_quadrant_1d,biomass_burning,0.1843296817263991,25.0,0.0,999.0,974.0,0.1843296817263991,NEW
ventilation_index_1d,wind_ventilation,0.17838912382071823,26.0,0.0,999.0,973.0,0.17838912382071823,NEW
washout_index_3d,external_environmental,0.22262251880854042,20.0,0.0,999.0,979.0,0.22262251880854042,NEW
wind_speed_kmh_lag_14d,,0.0,999.0,0.1212869050608052,30.0,-969.0,-0.1212869050608052,DISAPPEARED
wind_speed_kmh_lag_1d,wind_ventilation,0.25937793209312954,16.0,0.0443578518671337,69.0,53.0,0.21502008022599584,SHIFTED
wind_speed_kmh_lag_2d,,0.0,999.0,0.0818753020605708,42.0,-957.0,-0.0818753020605708,DISAPPEARED
wind_speed_kmh_lag_3d,,0.0,999.0,0.035888120335926,87.0,-912.0,-0.035888120335926,DISAPPEARED
wind_speed_kmh_lag_7d,,0.0,999.0,0.0472829312082571,67.0,-932.0,-0.0472829312082571,DISAPPEARED
wind_speed_kmh_roll_max_14d,,0.0,999.0,0.0141465255476634,139.0,-860.0,-0.0141465255476634,DISAPPEARED
wind_speed_kmh_roll_max_30d,,0.0,999.0,0.0435349259319376,71.0,-928.0,-0.0435349259319376,DISAPPEARED
wind_speed_kmh_roll_max_3d,,0.0,999.0,0.0131415476301293,140.0,-859.0,-0.0131415476301293,DISAPPEARED
wind_speed_kmh_roll_max_7d,,0.0,999.0,0.0242512038088774,114.0,-885.0,-0.0242512038088774,DISAPPEARED
wind_speed_kmh_roll_mean_14d,,0.0,999.0,0.4522425750990506,15.0,-984.0,-0.4522425750990506,DISAPPEARED
wind_speed_kmh_roll_mean_30d,,0.0,999.0,0.3665330887253757,16.0,-983.0,-0.3665330887253757,DISAPPEARED
wind_speed_kmh_roll_mean_3d,wind_ventilation,0.36394770663082887,12.0,0.0433619941994627,72.0,60.0,0.3205857124313662,SHIFTED
wind_speed_kmh_roll_mean_7d,,0.0,999.0,0.0989030166405531,34.0,-965.0,-0.0989030166405531,DISAPPEARED
wind_speed_kmh_roll_median_14d,,0.0,999.0,0.093159684898762,36.0,-963.0,-0.093159684898762,DISAPPEARED
wind_speed_kmh_roll_median_30d,,0.0,999.0,0.085532509952095,40.0,-959.0,-0.085532509952095,DISAPPEARED
wind_speed_kmh_roll_median_3d,,0.0,999.0,0.0325918929930429,94.0,-905.0,-0.0325918929930429,DISAPPEARED
wind_speed_kmh_roll_median_7d,,0.0,999.0,0.100984693417838,33.0,-966.0,-0.100984693417838,DISAPPEARED
wind_speed_kmh_roll_min_14d,,0.0,999.0,0.0198657983963746,127.0,-872.0,-0.0198657983963746,DISAPPEARED
wind_speed_kmh_roll_min_30d,,0.0,999.0,0.0371404555375438,84.0,-915.0,-0.0371404555375438,DISAPPEARED
wind_speed_kmh_roll_min_3d,,0.0,999.0,0.0721315925333813,45.0,-954.0,-0.0721315925333813,DISAPPEARED
wind_speed_kmh_roll_min_7d,,0.0,999.0,0.0348909100191904,88.0,-911.0,-0.0348909100191904,DISAPPEARED
wind_speed_kmh_roll_std_14d,,0.0,999.0,0.0388484305080034,79.0,-920.0,-0.0388484305080034,DISAPPEARED
wind_speed_kmh_roll_std_30d,,0.0,999.0,0.0910113695814082,38.0,-961.0,-0.0910113695814082,DISAPPEARED
wind_speed_kmh_roll_std_3d,,0.0,999.0,0.0346724304438166,89.0,-910.0,-0.0346724304438166,DISAPPEARED
wind_speed_kmh_roll_std_7d,,0.0,999.0,0.0166249422875905,132.0,-867.0,-0.0166249422875905,DISAPPEARED
