feature_name,feature_group,dtype,missing_count,missing_rate,infinite_count,unique_count,variance,min,max,mean,median,standard_deviation,prediction_safe,source_module
pm25_roll_std_3d,pm25_historical,float64,0,0.0,0,364,586.903814,0.0,133.902475,28.85831,19.18656,24.226098,True,ml.src.features
pm25_roll_var_3d,pm25_historical,float64,0,0.0,0,364,5666640.039361,0.0,17929.8727,1418.097904,368.1241,2380.47055,True,ml.src.features
pm25_roll_mean_7d,pm25_historical,float64,0,0.0,0,363,7713.839025,32.247143,324.045714,142.689079,106.274286,87.828464,True,ml.src.features
pm25_roll_median_7d,pm25_historical,float64,0,0.0,0,163,8169.981494,27.0,327.05,144.015795,111.66,90.38795,True,ml.src.features
pm25_roll_max_7d,pm25_historical,float64,0,0.0,0,99,12778.883722,46.16,385.86,183.708411,130.97,113.043725,True,ml.src.features
pm25_roll_min_7d,pm25_historical,float64,0,0.0,0,97,4245.210893,25.26,285.16,101.356247,78.56,65.155283,True,ml.src.features
pm25_roll_std_7d,pm25_historical,float64,0,0.0,0,364,501.418494,0.0,110.588533,31.320705,20.751197,22.392376,True,ml.src.features
pm25_roll_var_7d,pm25_historical,float64,0,0.0,0,364,4154481.673707,0.0,12229.823581,1481.031293,430.612162,2038.254565,True,ml.src.features
pm25_roll_mean_14d,pm25_historical,float64,0,0.0,0,364,7411.348174,35.390714,304.522143,142.392289,105.074286,86.089187,True,ml.src.features
pm25_roll_median_14d,pm25_historical,float64,0,0.0,0,190,7698.793916,32.175,322.495,143.086945,108.005,87.742771,True,ml.src.features
pm25_roll_max_14d,pm25_historical,float64,0,0.0,0,55,13433.216572,50.55,385.86,193.966932,133.67,115.901754,True,ml.src.features
pm25_roll_min_14d,pm25_historical,float64,0,0.0,0,53,3534.482316,25.26,285.16,92.477616,72.74,59.451512,True,ml.src.features
pm25_roll_std_14d,pm25_historical,float64,0,0.0,0,364,496.207042,0.0,92.94308,33.208739,20.577581,22.275705,True,ml.src.features
pm25_roll_var_14d,pm25_historical,float64,0,0.0,0,364,3778587.931051,0.0,8638.416187,1597.667912,423.436842,1943.859031,True,ml.src.features
pm25_roll_mean_30d,pm25_historical,float64,0,0.0,0,364,6886.348495,41.37,296.597667,141.812355,104.971667,82.984026,True,ml.src.features
pm25_roll_median_30d,pm25_historical,float64,0,0.0,0,176,7150.794159,41.305,311.825,141.087,104.515,84.562368,True,ml.src.features
pm25_roll_max_30d,pm25_historical,float64,0,0.0,0,38,13927.927605,61.28,385.86,209.868493,135.41,118.016641,True,ml.src.features
pm25_roll_min_30d,pm25_historical,float64,0,0.0,0,33,3051.794408,25.26,285.16,83.102877,71.64,55.243049,True,ml.src.features
pm25_roll_std_30d,pm25_historical,float64,0,0.0,0,364,522.369329,0.0,83.773106,37.037424,29.730443,22.8554,True,ml.src.features
pm25_roll_var_30d,pm25_historical,float64,0,0.0,0,364,3927654.52879,0.0,7017.933327,1892.708943,883.899233,1981.831105,True,ml.src.features
pm10_roll_mean_3d,other_pollutant_historical,float64,0,0.0,0,364,18028.25078,56.396667,606.44,261.185562,243.803333,134.269322,True,ml.src.features
pm10_roll_median_3d,other_pollutant_historical,float64,0,0.0,0,221,18883.367137,52.59,619.47,262.323342,246.47,137.416764,True,ml.src.features
pm10_roll_max_3d,other_pollutant_historical,float64,0,0.0,0,185,25586.863635,59.02,635.15,311.272356,290.39,159.958944,True,ml.src.features
