feature_name,attribution_group,mean_abs_shap,mean_shap,median_abs_shap,rank
humidity_pct_roll_var_3d,meteorology,0.03413285448792271,0.0012074592009190157,0.018652176989315185,91
pm25_roll_mean_30d,pm25_persistence,0.03376593562042379,0.030267758081741272,0.022136552708958635,92
humidity_pct_roll_max_3d,meteorology,0.033106222638434595,0.005001208370961595,0.03228712031722812,93
wind_speed_kmh_roll_median_3d,wind_ventilation,0.032591892993042985,-0.004589029836898378,0.02419009429287915,94
fire_hotspot_count_roll_min_3d,biomass_burning,0.031095347794969686,-0.006578576432747601,0.017145036458819166,95
temperature_c_roll_max_7d,meteorology,0.02988646489507901,0.011981840158964337,0.030400096198787554,96
fire_hotspot_count_roll_mean_7d,biomass_burning,0.029598867146872015,-0.005040706679513146,0.012691587297295975,97
temperature_c_roll_var_14d,meteorology,0.02902669889910751,-0.0016705593008386791,0.016125754422366807,98
humidity_pct_roll_std_14d,meteorology,0.02874334922833842,0.00196495224211342,0.018979331813621395,99
fire_hotspot_count_roll_min_14d,biomass_burning,0.02865492475187247,0.005472126981793488,0.012672338879542054,100
humidity_pct_roll_median_14d,meteorology,0.02823994598730148,-0.011415606106813596,0.01602275424111401,101
temperature_c_roll_max_14d,meteorology,0.027582162128404652,0.006248777269452072,0.021571857407021222,102
temperature_c_roll_median_3d,meteorology,0.027431198564072286,-0.013092580698148313,0.024010195887495134,103
temperature_c_roll_max_3d,meteorology,0.027378308826134568,0.006647701879484328,0.018194160311912917,104
temperature_c_roll_mean_30d,meteorology,0.02712374778611262,0.014303581827036895,0.021523678865897823,105
fire_hotspot_count_lag_3d,biomass_burning,0.027057358746531594,0.0067995487537677885,0.014288444425173383,106
humidity_pct_roll_median_3d,meteorology,0.02686616970858137,-0.0019030603799334077,0.01956170156890097,107
temperature_c_roll_max_30d,meteorology,0.026688946683260585,0.023871307697449315,0.017538583717998935,108
fire_hotspot_count_roll_median_3d,biomass_burning,0.026425220759173317,0.0021043497319320537,0.019295571787743354,109
fire_hotspot_count_roll_median_14d,biomass_burning,0.025817361088384037,0.003937118083260248,0.008949169657058385,110
humidity_pct_roll_var_30d,meteorology,0.02498555743018408,0.0012743035655224755,0.012401990196255668,111
humidity_pct_roll_min_30d,meteorology,0.024897478078988528,0.01694046960350544,0.01802040276434452,112
humidity_pct_roll_std_7d,meteorology,0.024757797352738184,-0.0035888360064468077,0.011703802474233235,113
wind_speed_kmh_roll_max_7d,wind_ventilation,0.02425120380887747,0.004698918483811221,0.015535833730271838,114
temperature_c_roll_median_30d,meteorology,0.024015288028473105,0.0014313484651853868,0.02236601361954523,115
fire_hotspot_count_roll_std_14d,biomass_burning,0.023964821762168787,0.007957209115489623,0.018031536408890065,116
wind_speed_kmh_roll_var_7d,wind_ventilation,0.023912102849972024,0.006936708991248267,0.012360676043449067,117
temperature_c_roll_min_14d,meteorology,0.022543107849471163,0.005962746422928269,0.023859563889916967,118
humidity_pct_roll_std_30d,meteorology,0.022429130243906074,0.0072380688925265425,0.009682250223165193,119
humidity_pct_roll_max_7d,meteorology,0.022330133919067418,0.002281152146963196,0.018560534440063357,120
wind_speed_kmh_roll_var_14d,wind_ventilation,0.021776734238671384,-0.01160595662564153,0.022417740051787177,121
fire_hotspot_count_roll_var_14d,biomass_burning,0.021395572334930446,-0.0004057289198416894,0.014879249970690886,122
temperature_c_lag_3d,meteorology,0.020958257961333628,0.004754104762781216,0.02089981202045062,123
humidity_pct_lag_2d,meteorology,0.02066776179613092,-0.007022915690163088,0.01329894452006833,124
fire_hotspot_count_lag_1d,biomass_burning,0.02022250961859461,0.0011727141864705498,0.010258946364645277,125
temperature_c_roll_min_3d,meteorology,0.0201923563179421,-0.0026594832557227284,0.01655920090262716,126
wind_speed_kmh_roll_min_14d,wind_ventilation,0.019865798396374642,-0.0016073191066558281,0.01261628035291367,127
temperature_c_roll_mean_7d,meteorology,0.019258661967796808,0.002598382129709877,0.014572490524597095,128
temperature_c_lag_1d,meteorology,0.01778998664215775,0.002615351336935727,0.0169280136953833,129
humidity_pct_roll_var_7d,meteorology,0.017721302623321198,0.0005518638999778006,0.010965861551214286,130
temperature_c_roll_std_14d,meteorology,0.017641517904196446,0.001067585235445011,0.007729359496534653,131
wind_speed_kmh_roll_std_7d,wind_ventilation,0.016624942287590514,0.0027023316449794406,0.007528093061488541,132
fire_hotspot_count_roll_max_7d,biomass_burning,0.01660111910101707,0.0002445495723517424,0.005857081936793895,133
humidity_pct_roll_mean_3d,meteorology,0.016335252721224762,-0.005831319951342156,0.012683455642729782,134
temperature_c_lag_2d,meteorology,0.01568765975333958,-0.009978886975241482,0.010701223720479788,135
humidity_pct_roll_min_7d,meteorology,0.015211083495363119,-0.009875360105252909,0.010480464778304029,136
fire_hotspot_count_roll_min_30d,biomass_burning,0.015149327814008054,0.005555842682655111,0.008244250925345946,137
