date,scenario,ood_flag,ood_score,ood_reason
2020-08-04,biomass_low,False,1.3765316815234558,Normal feature distribution
2020-08-05,biomass_low,False,1.2244774747144143,Normal feature distribution
2020-08-06,biomass_low,False,1.3886781408934925,Normal feature distribution
2020-08-07,biomass_low,True,5.575212552515627,Extreme z-score (5.58) on feature 'wind_speed_kmh_roll_var_3d'
2020-08-08,biomass_low,False,3.970787791240091,Normal feature distribution
2020-08-09,biomass_low,True,7.364537496048398,Extreme z-score (7.36) on feature 'wind_speed_kmh_roll_var_3d'
2020-08-10,biomass_low,False,4.093260436455217,Normal feature distribution
2020-08-11,biomass_low,False,4.22573460530264,Normal feature distribution
2020-08-12,biomass_low,False,4.22573460530264,Normal feature distribution
2020-08-13,biomass_low,False,4.265372545587695,Normal feature distribution
2020-08-14,biomass_low,False,2.6837084302445255,Normal feature distribution
2020-08-15,biomass_low,False,2.5137559190308782,Normal feature distribution
2020-08-16,biomass_low,False,2.122629272545594,Normal feature distribution
2020-08-17,biomass_low,False,2.148063297861217,Normal feature distribution
2020-08-18,biomass_low,False,2.174976748830831,Normal feature distribution
2020-08-19,biomass_low,False,2.2495388713355844,Normal feature distribution
2020-08-20,biomass_low,False,3.5141622224139972,Normal feature distribution
2020-08-21,biomass_low,False,2.0452178334074724,Normal feature distribution
2020-08-22,biomass_low,False,1.5918640232195167,Normal feature distribution
2020-08-23,biomass_low,False,2.076541021166522,Normal feature distribution
2020-08-24,biomass_low,False,2.1232922241726278,Normal feature distribution
2020-08-25,biomass_low,False,2.910543823768568,Normal feature distribution
2020-08-26,biomass_low,False,1.8553045972468991,Normal feature distribution
2020-08-27,biomass_low,False,1.8418600350996368,Normal feature distribution
2020-08-28,biomass_low,False,1.844086819280011,Normal feature distribution
2020-08-29,biomass_low,False,2.079429636001859,Normal feature distribution
2020-08-30,biomass_low,False,1.8229957231445333,Normal feature distribution
2020-08-31,biomass_low,False,3.235276492226893,Normal feature distribution
2020-09-01,biomass_low,False,2.5888020391921422,Normal feature distribution
2020-09-02,biomass_low,False,3.1438840732571536,Normal feature distribution
2020-09-03,biomass_low,False,2.330672407638965,Normal feature distribution
2020-09-04,biomass_low,False,2.2357812929238006,Normal feature distribution
2020-09-05,biomass_low,False,2.2184286851587567,Normal feature distribution
2020-09-06,biomass_low,False,2.5928059667326924,Normal feature distribution
2020-09-07,biomass_low,False,1.618131171216399,Normal feature distribution
2020-09-08,biomass_low,False,1.7193116333336937,Normal feature distribution
2020-09-09,biomass_low,False,1.7193116333336937,Normal feature distribution
2020-09-10,biomass_low,False,1.6632404171083626,Normal feature distribution
2020-09-11,biomass_low,False,1.6178745655190505,Normal feature distribution
2020-09-12,biomass_low,False,1.5842762343995849,Normal feature distribution
2020-09-13,biomass_low,False,2.5984566292670728,Normal feature distribution
2020-09-14,biomass_low,False,1.6009941304826902,Normal feature distribution
2020-09-15,biomass_low,False,1.5698359646962472,Normal feature distribution
2020-09-16,biomass_low,False,1.462582345416616,Normal feature distribution
2020-09-17,biomass_low,False,1.3093735098624513,Normal feature distribution
2020-09-18,biomass_low,False,1.2802625557563518,Normal feature distribution
2020-09-19,biomass_low,False,1.2742149417501272,Normal feature distribution
2020-09-20,biomass_low,False,1.236060542035672,Normal feature distribution
2020-09-21,biomass_low,False,1.4840641401796306,Normal feature distribution
2020-09-22,biomass_low,False,1.426832540607948,Normal feature distribution
2020-09-23,biomass_low,False,1.1852461445622193,Normal feature distribution
2020-09-24,biomass_low,False,1.1852461445622193,Normal feature distribution
2020-09-25,biomass_low,False,1.1852461445622193,Normal feature distribution
2020-09-26,biomass_low,False,1.1931822246231114,Normal feature distribution
2020-09-27,biomass_low,False,1.1931822246231105,Normal feature distribution
2020-09-28,biomass_low,False,1.1852461445622193,Normal feature distribution
2020-09-29,biomass_low,False,1.1852461445622193,Normal feature distribution
2020-09-30,biomass_low,False,1.1998773013619677,Normal feature distribution
2020-10-01,biomass_low,False,1.7272385430813393,Normal feature distribution
2020-10-02,biomass_low,False,1.5431688327522148,Normal feature distribution
2020-10-03,biomass_low,False,1.1220911926590047,Normal feature distribution
2020-10-04,biomass_low,False,1.1511030940025744,Normal feature distribution
2020-10-05,biomass_low,False,1.1987479773567202,Normal feature distribution
2020-10-06,biomass_low,False,1.2348124501972002,Normal feature distribution
2020-10-07,biomass_low,False,1.3901454942163345,Normal feature distribution
2020-10-08,biomass_low,False,1.8220980098738178,Normal feature distribution
2020-10-09,biomass_low,False,1.832245663890707,Normal feature distribution
2020-10-10,biomass_low,False,1.958329964614064,Normal feature distribution
2020-10-11,biomass_low,False,1.6775832379554116,Normal feature distribution
2020-10-12,biomass_low,False,1.3774083970717599,Normal feature distribution
2020-10-13,biomass_low,False,1.367798445899742,Normal feature distribution
2020-10-14,biomass_low,False,1.4146870784897105,Normal feature distribution
2020-10-15,biomass_low,False,1.6141567321051213,Normal feature distribution
2020-10-16,biomass_low,False,1.7878668640468882,Normal feature distribution
2020-10-17,biomass_low,False,1.9384923010846902,Normal feature distribution
2020-10-18,biomass_low,False,1.9836688455782492,Normal feature distribution
2020-10-19,biomass_low,False,1.9726898870344467,Normal feature distribution
2020-10-20,biomass_low,False,1.9194384078932554,Normal feature distribution
2020-10-21,biomass_low,False,1.8347206386508306,Normal feature distribution
2020-10-22,biomass_low,False,1.8027519091925899,Normal feature distribution
2020-10-23,biomass_low,False,1.8103176316502498,Normal feature distribution
2020-10-24,biomass_low,False,1.8624703284000255,Normal feature distribution
2020-10-25,biomass_low,False,1.8844883974991997,Normal feature distribution
2020-10-26,biomass_low,False,1.9906214749006943,Normal feature distribution
2020-10-27,biomass_low,False,2.0150280362894284,Normal feature distribution
2020-10-28,biomass_low,False,1.7960123450978245,Normal feature distribution
2020-10-29,biomass_low,False,1.7549121283517408,Normal feature distribution
2020-10-30,biomass_low,False,1.7480021576688147,Normal feature distribution
2020-10-31,biomass_low,False,1.8108856283509107,Normal feature distribution
