isolation_pass,max_untargeted_diff,bounds_pass,out_of_bounds_count,overall_plausibility_pass,date,scenario
True,0.0,True,0,True,2021-03-03,biomass_low
True,0.0,True,0,True,2021-03-04,biomass_low
True,0.0,True,0,True,2021-03-05,biomass_low
True,0.0,True,0,True,2021-03-06,biomass_low
True,0.0,True,0,True,2021-03-07,biomass_low
True,0.0,True,0,True,2021-03-08,biomass_low
True,0.0,True,0,True,2021-03-09,biomass_low
True,0.0,True,0,True,2021-03-10,biomass_low
True,0.0,True,0,True,2021-03-11,biomass_low
True,0.0,True,0,True,2021-03-12,biomass_low
True,0.0,True,0,True,2021-03-13,biomass_low
True,0.0,True,0,True,2021-03-14,biomass_low
True,0.0,True,0,True,2021-03-15,biomass_low
True,0.0,True,0,True,2021-03-16,biomass_low
True,0.0,True,0,True,2021-03-17,biomass_low
True,0.0,True,0,True,2021-03-18,biomass_low
True,0.0,True,0,True,2021-03-19,biomass_low
True,0.0,True,0,True,2021-03-20,biomass_low
True,0.0,True,0,True,2021-03-21,biomass_low
True,0.0,True,0,True,2021-03-22,biomass_low
True,0.0,True,0,True,2021-03-23,biomass_low
True,0.0,True,0,True,2021-03-24,biomass_low
True,0.0,True,0,True,2021-03-25,biomass_low
True,0.0,True,0,True,2021-03-26,biomass_low
True,0.0,True,0,True,2021-03-27,biomass_low
True,0.0,True,0,True,2021-03-28,biomass_low
True,0.0,True,0,True,2021-03-29,biomass_low
True,0.0,True,0,True,2021-03-30,biomass_low
True,0.0,True,0,True,2021-03-31,biomass_low
True,0.0,True,0,True,2021-04-01,biomass_low
True,0.0,True,0,True,2021-04-02,biomass_low
True,0.0,True,0,True,2021-04-03,biomass_low
True,0.0,True,0,True,2021-04-04,biomass_low
True,0.0,True,0,True,2021-04-05,biomass_low
True,0.0,True,0,True,2021-04-06,biomass_low
True,0.0,True,0,True,2021-04-07,biomass_low
True,0.0,True,0,True,2021-04-08,biomass_low
True,0.0,True,0,True,2021-04-09,biomass_low
True,0.0,True,0,True,2021-04-10,biomass_low
True,0.0,True,0,True,2021-04-11,biomass_low
True,0.0,True,0,True,2021-04-12,biomass_low
True,0.0,True,0,True,2021-04-13,biomass_low
True,0.0,True,0,True,2021-04-14,biomass_low
True,0.0,True,0,True,2021-04-15,biomass_low
True,0.0,True,0,True,2021-04-16,biomass_low
True,0.0,True,0,True,2021-04-17,biomass_low
True,0.0,True,0,True,2021-04-18,biomass_low
True,0.0,True,0,True,2021-04-19,biomass_low
True,0.0,True,0,True,2021-04-20,biomass_low
True,0.0,True,0,True,2021-04-21,biomass_low
True,0.0,True,0,True,2021-04-22,biomass_low
True,0.0,True,0,True,2021-04-23,biomass_low
True,0.0,True,0,True,2021-04-24,biomass_low
True,0.0,True,0,True,2021-04-25,biomass_low
True,0.0,True,0,True,2021-04-26,biomass_low
True,0.0,True,0,True,2021-04-27,biomass_low
True,0.0,True,0,True,2021-04-28,biomass_low
True,0.0,True,0,True,2021-04-29,biomass_low
True,0.0,True,0,True,2021-04-30,biomass_low
True,0.0,True,0,True,2021-05-01,biomass_low
True,0.0,True,0,True,2021-05-02,biomass_low
True,0.0,True,0,True,2021-05-03,biomass_low
True,0.0,True,0,True,2021-05-04,biomass_low
True,0.0,True,0,True,2021-05-05,biomass_low
True,0.0,True,0,True,2021-05-06,biomass_low
True,0.0,True,0,True,2021-05-07,biomass_low
True,0.0,True,0,True,2021-05-08,biomass_low
True,0.0,True,0,True,2021-05-09,biomass_low
True,0.0,True,0,True,2021-05-10,biomass_low
True,0.0,True,0,True,2021-05-11,biomass_low
True,0.0,True,0,True,2021-05-12,biomass_low
True,0.0,True,0,True,2021-05-13,biomass_low
True,0.0,True,0,True,2021-05-14,biomass_low
True,0.0,True,0,True,2021-05-15,biomass_low
True,0.0,True,0,True,2021-05-16,biomass_low
True,0.0,True,0,True,2021-05-17,biomass_low
True,0.0,True,0,True,2021-05-18,biomass_low
True,0.0,True,0,True,2021-05-19,biomass_low
True,0.0,True,0,True,2021-05-20,biomass_low
True,0.0,True,0,True,2021-05-21,biomass_low
True,0.0,True,0,True,2021-05-22,biomass_low
True,0.0,True,0,True,2021-05-23,biomass_low
True,0.0,True,0,True,2021-05-24,biomass_low
True,0.0,True,0,True,2021-05-25,biomass_low
True,0.0,True,0,True,2021-05-26,biomass_low
True,0.0,True,0,True,2021-05-27,biomass_low
True,0.0,True,0,True,2021-05-28,biomass_low
True,0.0,True,0,True,2021-05-29,biomass_low
True,0.0,True,0,True,2021-05-30,biomass_low
True,0.0,True,0,True,2021-05-31,biomass_low
True,0.0,True,0,True,2021-06-01,biomass_low
True,0.0,True,0,True,2021-06-02,biomass_low
True,0.0,True,0,True,2021-06-03,biomass_low
True,0.0,True,0,True,2021-06-04,biomass_low
True,0.0,True,0,True,2021-06-05,biomass_low
True,0.0,True,0,True,2021-06-06,biomass_low
True,0.0,True,0,True,2021-06-07,biomass_low
True,0.0,True,0,True,2021-06-08,biomass_low
True,0.0,True,0,True,2021-06-09,biomass_low
True,0.0,True,0,True,2021-06-10,biomass_low
True,0.0,True,0,True,2021-06-11,biomass_low
True,0.0,True,0,True,2021-06-12,biomass_low
True,0.0,True,0,True,2021-06-13,biomass_low
True,0.0,True,0,True,2021-06-14,biomass_low
True,0.0,True,0,True,2021-06-15,biomass_low
True,0.0,True,0,True,2021-06-16,biomass_low
True,0.0,True,0,True,2021-06-17,biomass_low
True,0.0,True,0,True,2021-06-18,biomass_low
True,0.0,True,0,True,2021-06-19,biomass_low
True,0.0,True,0,True,2021-06-20,biomass_low
True,0.0,True,0,True,2021-06-21,biomass_low
True,0.0,True,0,True,2021-06-22,biomass_low
True,0.0,True,0,True,2021-06-23,biomass_low
True,0.0,True,0,True,2021-06-24,biomass_low
True,0.0,True,0,True,2021-06-25,biomass_low
True,0.0,True,0,True,2021-06-26,biomass_low
True,0.0,True,0,True,2021-06-27,biomass_low
True,0.0,True,0,True,2021-06-28,biomass_low
True,0.0,True,0,True,2021-06-29,biomass_low
True,0.0,True,0,True,2021-06-30,biomass_low
True,0.0,True,0,True,2021-07-01,biomass_low
True,0.0,True,0,True,2021-07-02,biomass_low
