event_id,start_date,end_date,peak_date,observed_pm25,observed_prediction,dominant_group,biomass_cf_prediction,biomass_delta,wind_cf_prediction,wind_delta,meteorology_cf_prediction,meteorology_delta,combined_cf_prediction,combined_delta,confidence,ood_flag
EVT_067,2023-01-05,2023-01-05,2023-01-05,312.09,289.20768355577997,pm25_persistence,288.91421895685465,-0.2934645989253113,273.3557737217944,-15.851909833985587,287.56786587766385,-1.639817678116117,269.5043445547332,-19.703339001046743,HIGH,False
EVT_068,2023-01-07,2023-01-08,2023-01-07,377.39,293.6603407783633,pm25_persistence,293.28598414524504,-0.37435663311828193,277.62461149758997,-16.035729280773353,288.45174545032216,-5.208595328041156,270.27043494426283,-23.38990583410049,HIGH,False
EVT_069,2023-01-10,2023-01-11,2023-01-11,354.84,295.0647646445483,pm25_persistence,294.7338947298699,-0.3308699146783738,280.19728091625836,-14.867483728289926,290.01552492014275,-5.049239724405538,271.8525668661793,-23.21219777836899,HIGH,False
EVT_070,2023-01-14,2023-01-15,2023-01-14,359.52,293.94505124680336,pm25_persistence,294.16706143545065,0.22201018864728894,277.41658726808856,-16.528463978714797,289.34241183103177,-4.602639415771591,271.8611472611017,-22.08390398570168,HIGH,False
EVT_071,2023-01-17,2023-01-18,2023-01-18,329.09,291.62888241541293,pm25_persistence,291.4693809192552,-0.159501496157759,276.2088247968579,-15.420057618555006,288.76674754757676,-2.8621348678361755,271.8592731762113,-19.769609239201657,HIGH,False
EVT_072,2023-01-20,2023-01-20,2023-01-20,311.05,291.43586525882733,pm25_persistence,290.9676459475445,-0.4682193112828372,275.2507579334958,-16.185107325331558,287.37881823264314,-4.057047026184193,270.69011547573933,-20.745749783088,HIGH,False
EVT_073,2023-01-23,2023-01-23,2023-01-23,371.63,288.3347476280986,pm25_persistence,287.86940360673617,-0.4653440213624549,269.03423877735054,-19.300508850748088,287.1102912760009,-1.224456352097718,268.61299189970407,-19.721755728394555,HIGH,False
EVT_074,2023-01-25,2023-01-25,2023-01-25,312.9,286.0314509147554,pm25_persistence,285.5650382298279,-0.4664126849274908,267.5353681139288,-18.49608280082657,284.72693968161803,-1.3045112331373616,266.50062668773177,-19.53082422702363,HIGH,False
EVT_075,2023-01-29,2023-01-29,2023-01-29,334.08,286.5103169692585,pm25_persistence,285.96255597043773,-0.5477609988207632,269.4992088509336,-17.0111081183249,284.47956515310943,-2.0307518161490634,267.708896175144,-18.801420794114506,HIGH,False
EVT_076,2023-01-31,2023-01-31,2023-01-31,339.59,283.3541159335583,pm25_persistence,284.2231872830551,0.8690713494967781,269.29864769357965,-14.055468239978666,280.2883795128861,-3.0657364206722377,267.8361052099045,-15.518010723653845,HIGH,False
EVT_077,2023-11-02,2023-11-02,2023-11-02,393.07,289.8560144871906,pm25_persistence,275.9986306655183,-13.857383821672272,273.0788222994188,-16.77719218777179,286.947338927343,-2.908675559847552,256.389264772754,-33.46674971443656,HIGH,False
